no,setting,species,signal,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,max_cases,no_subjects
106,wild,Sum,flail limb,manual ,1,T,pl,0,0,0,0,0,20,0,0,20,20,7
107,wild,Sum,grab/hold onto,manual ,0.433333333,A,pl,21,0,70,1,3,78,7,0,180,78,17
108,wild,Sum,head-butt,manual ,1,T,pl,0,0,0,0,0,3,0,0,3,3,2
109,wild,Sum,hit/kick,manual ,0.5,L,pl,0,0,0,0,0,2,2,0,4,2,5
110,wild,Sum,kiss,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,1,6
111,wild,Sum,look at,manual ,0.604166667,L,pl,8,0,11,0,0,29,0,0,48,29,18
112,wild,Sum,look back at,manual ,0.5,L,pl,0,0,0,1,0,1,0,0,2,1,2
113,wild,Sum,head-stand,manual ,NA,NA,pl,0,0,0,0,0,0,0,0,NA,NA,2
114,wild,Sum,loud scratch,manual ,0.692307692,L,jt,0,0,9,0,0,4,0,0,13,9,8
115,wild,Sum,peer,bodily,0.545454545,L,fs,6,0,0,0,0,5,0,0,11,6,12
116,wild,Sum,place limb,manual ,0.446428571,A,pl,13,0,17,0,1,25,0,0,56,25,13
117,wild,Sum,play face,facial,0.909090909,T,pl,1,0,0,0,0,10,0,0,11,10,7
118,wild,Sum,poke,manual ,1,T,pl,0,0,0,0,0,2,0,0,2,2,2
119,wild,Sum,present bp,bodily,0.473684211,A,pl,6,0,3,0,0,9,1,0,19,9,9
120,wild,Sum,present obj,manual ,0.666666667,L,pl,2,0,0,0,0,1,0,0,3,2,3
121,wild,Sum,pull,manual ,0.432989691,A,fs,42,1,14,0,0,35,5,0,97,42,14
122,wild,Sum,push,manual ,0.404761905,A,st,9,0,0,0,1,15,17,0,42,17,15
123,wild,Sum,raise limb,manual ,0.4,A,pl,1,0,2,0,0,2,0,0,5,2,7
124,wild,Sum,reach,manual ,0.720588235,T,pl,5,1,13,0,0,49,0,0,68,49,18
125,wild,Sum,rub body ,bodily,1,T,pl,0,0,0,0,0,10,0,0,10,10,5
126,wild,Sum,shake object,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,1,2
127,wild,Sum,swing/dangle,bodily,0.818181818,T,pl,2,1,3,0,0,27,0,0,33,27,8
128,wild,Sum,throw self,bodily,0.720430108,T,pl,14,2,8,0,1,67,1,0,93,67,2
129,wild,Sum,tickle,manual ,NA,NA,pl,0,0,0,0,0,0,0,0,NA,NA,3
130,wild,Sum,touch,manual ,0.720430108,T,pl,14,2,8,0,1,67,1,0,93,67,17
